Mode,f_obs,f_unc,f_prem,q_obs,q_unc,q_prem,Q_obs,Q_unc,Q_prem,k_obs,k_unc,k_prem
6s1,1983.2,1,1980.38,1.77,0.6,1.538,564.97,191.52,650.20,1.10E-05,3.74E-06,9.57E-06
0s12,1989,0.3,1990.37,2.95,0.1,3.173,338.98,11.49,315.16,1.84E-05,6.25E-07,1.98E-05
4s3,2048.35,0.15,2048.97,1.86,0.15,2.083,537.63,43.36,480.08,1.20E-05,9.65E-07,1.34E-05
2s8,2050,0.35,2049.21,5.1,0.3,5.057,196.08,11.53,197.75,3.28E-05,1.93E-06,3.26E-05
5s2,2090.6,0.3,2091.28,3.13,0.2,3.146,319.49,20.41,317.86,2.06E-05,1.31E-06,2.07E-05
0t14,2095.43,0.2,2094.36,6.33,0.45,6.442,157.98,11.23,155.23,4.17E-05,2.96E-06,4.24E-05
1t7,2103.2,0.3,2103.79,3.6,0.3,4.214,277.78,23.15,237.30,2.38E-05,1.98E-06,2.79E-05
0s13,2111.58,0.1,2112.94,3.11,0.1,3.255,321.54,10.34,307.22,2.06E-05,6.63E-07,2.16E-05
1s10,2146.5,0.5,2148.42,2.39,0.25,2.643,418.41,43.77,378.36,1.61E-05,1.69E-06,1.78E-05
5s3,2168.8,0.2,2169.66,3.25,0.2,3.42,307.69,18.93,292.40,2.21E-05,1.36E-06,2.33E-05
2t1,2187,2,2187.83,4.27,0.4,4.904,234.19,21.94,203.92,2.93E-05,2.75E-06,3.37E-05
