subband_index,subband_min_frequency_hz,subband_max_frequency_hz,signal_index,frequency_hz,decay_rate,log_probability
20,0.00395,0.004,4,0.00395,0.000117628,264.7824256
2,0.00305,0.0031,5,0.003062024,3.97E-05,261.6244916
3,0.0031,0.00315,4,0.0031,0.00012,259.1334103
11,0.0035,0.00355,4,0.003522144,4.78E-05,257.2933322
18,0.00385,0.0039,4,0.0039,6.07E-05,256.292466
15,0.0037,0.00375,2,0.00375,0.000113258,252.9102406
18,0.00385,0.0039,5,0.00385,0.00012,243.2918104
2,0.00305,0.0031,4,0.003085972,3.97E-05,226.9581761
11,0.0035,0.00355,5,0.0035,4.78E-05,221.865957
20,0.00395,0.004,2,0.00395,0.000117628,195.2146186
18,0.00385,0.0039,2,0.00385,6.07E-05,171.1888911
8,0.00335,0.0034,5,0.003360421,4.24E-05,152.1813629
20,0.00395,0.004,5,0.004,0.000117628,115.6842696
3,0.0031,0.00315,5,0.00315,0.00012,104.5784981
