mode,f_obs,f_unc,f_prem,q_obs,q_unc,q_prem,Q_obs,Q_unc,Q_prem,k_obs,k_unc,k_prem,ref
2S6,1681.3,0.3,1680.84,4.1,0.2,4.203,243.902439,11.89767995,237.9252915,2.17E-05,1.06E-06,2.22E-05,27
4S2,1721.65,0.2,1722.3,2.05,0.15,2.303,487.804878,35.69303986,434.2162397,1.11E-05,8.11E-07,1.25E-05,ss
0S10,1725.6,0.2,1726.47,2.92,0.1,3.05,342.4657534,11.72827923,327.8688525,1.58E-05,5.42E-07,1.65E-05,"32c ,RR"
0T11,1737.42,0.2,1736.85,5.85,0.35,5.963,170.9401709,10.22718971,167.7008217,3.19E-05,1.91E-06,3.25E-05,RR
1T5,1750.15,0.3,1750.49,3.64,0.2,4.061,274.7252747,15.09479531,246.2447673,2.00E-05,1.10E-06,2.23E-05,"A,RR"
1S8,1797.8,0.25,1799.3,2.4,0.25,2.635,416.6666667,43.40277778,379.5066414,1.36E-05,1.41E-06,1.49E-05,27
0T12,1858.82,0.2,1857.94,5.95,0.35,6.138,168.0672269,9.886307464,162.9195178,3.47E-05,2.04E-06,3.58E-05,RR
0S11,1861.3,0.4,1862.42,2.94,0.1,3.105,340.1360544,11.56925355,322.0611916,1.72E-05,5.85E-07,1.82E-05,RR
2S7,1865.2,0.4,1864.96,4.4,0.25,4.726,227.2727273,12.91322314,211.5954295,2.58E-05,1.46E-06,2.77E-05,ss
1T6,1925.3,0.3,1925.61,3.75,0.2,4.129,266.6666667,14.22222222,242.1893921,2.27E-05,1.21E-06,2.50E-05,"ss,RR"
1S9,1962,0.4,1963.74,2.45,0.25,2.629,408.1632653,41.64931279,380.3727653,1.51E-05,1.54E-06,1.62E-05,27
0T13,1977.88,0.2,1976.99,6.17,0.45,6.297,162.0745543,11.82067252,158.8057805,3.83E-05,2.80E-06,3.91E-05,RR
6S1,1983.2,1,1980.38,1.77,0.6,1.538,564.9717514,191.5158479,650.1950585,1.10E-05,3.74E-06,9.57E-06,ss
0S12,1989,0.3,1990.37,2.95,0.1,3.173,338.9830508,11.49095088,315.1591554,1.84E-05,6.25E-07,1.98E-05,"32c ,RR"
4S3,2048.35,0.15,2048.97,1.86,0.15,2.083,537.6344086,43.3576136,480.0768123,1.20E-05,9.65E-07,1.34E-05,"27,ss"
2S8,2050,0.35,2049.21,5.1,0.3,5.057,196.0784314,11.53402537,197.745699,3.28E-05,1.93E-06,3.26E-05,27
5S2,2090.6,0.3,2091.28,3.13,0.2,3.146,319.4888179,20.41462095,317.8639542,2.06E-05,1.31E-06,2.07E-05,ss
0T14,2095.43,0.2,2094.36,6.33,0.45,6.442,157.9778831,11.2306552,155.2312946,4.17E-05,2.96E-06,4.24E-05,RR
1T7,2103.2,0.3,2103.79,3.6,0.3,4.214,277.7777778,23.14814815,237.304224,2.38E-05,1.98E-06,2.79E-05,"ss,RR"
0S13,2111.58,0.1,2112.94,3.11,0.1,3.255,321.5434084,10.33901635,307.2196621,2.06E-05,6.63E-07,2.16E-05,"32c ,RR"
1S10,2146.5,0.5,2148.42,2.39,0.25,2.643,418.4100418,43.76674078,378.3579266,1.61E-05,1.69E-06,1.78E-05,WT
5S3,2168.8,0.2,2169.66,3.25,0.2,3.42,307.6923077,18.93491124,292.3976608,2.21E-05,1.36E-06,2.33E-05,"27,ss"
2T1,2187,2,2187.83,4.27,0.4,4.904,234.1920375,21.93836417,203.9151713,2.93E-05,2.75E-06,3.37E-05,ss
0T15,2211.16,0.4,2210.34,6.45,0.45,6.572,155.0387597,10.81665765,152.1606817,4.48E-05,3.13E-06,4.56E-05,RR
2S9,2229.3,0.45,2228.75,5.3,0.4,5.312,188.6792453,14.23994304,188.253012,3.71E-05,2.80E-06,3.72E-05,ss
0S14,2229.8,0.25,2231.4,3.15,0.1,3.352,317.4603175,10.07810532,298.3293556,2.21E-05,7.01E-07,2.35E-05,"32c ,RR"
2T2,2232,1,2230.84,4.04,0.4,4.878,247.5247525,24.50740124,205.00205,2.83E-05,2.80E-06,3.42E-05,"ss,RR"
4S4,2278.5,0.3,2279.6,3.25,0.2,3.446,307.6923077,18.93491124,290.1915264,2.33E-05,1.43E-06,2.47E-05,"26,ss"
1T8,2280,0.7,2280.23,3.81,0.35,4.308,262.4671916,24.11115933,232.1262767,2.73E-05,2.51E-06,3.09E-05,"ss,RR"
2T3,2294.9,1.5,2294.97,3.77,0.4,4.836,265.2519894,28.14344715,206.7824648,2.72E-05,2.88E-06,3.49E-05,ss
0T16,2326.4,0.3,2325.19,6.76,0.5,6.69,147.9289941,10.94149365,149.4768311,4.94E-05,3.65E-06,4.89E-05,RR
0S15,2344.95,0.15,2346.38,3.18,0.1,3.463,314.4654088,9.888849333,288.7669651,2.34E-05,7.37E-07,2.55E-05,"32c ,RR"
1S11,2346.2,0.5,2347.54,,,2.674,,,373.9715782,,,1.97E-05,W
5S4,2379.25,0.15,2379.52,1.87,0.1,2.044,534.7593583,28.59675713,489.2367906,1.40E-05,7.47E-07,1.53E-05,"27,ss"
2T4,2379.5,0.8,2379.86,4.11,0.4,4.775,243.3090024,23.67970827,209.4240838,3.07E-05,2.99E-06,3.57E-05,"ss,RR"
2S10,2403.6,0.5,2402.93,5.5,0.3,5.518,181.8181818,9.917355372,181.2250816,4.15E-05,2.27E-06,4.17E-05,"32,ss"
4S5,2411.2,0.3,2411.43,3.45,0.2,3.541,289.8550725,16.80319261,282.4061,2.61E-05,1.52E-06,2.68E-05,ss
0T17,2440.32,0.4,2439.09,6.8,0.5,6.795,147.0588235,10.81314879,147.1670346,5.21E-05,3.83E-06,5.21E-05,RR
1T9,2452.2,0.5,2452.49,3.97,0.25,4.399,251.8891688,15.86203834,227.3243919,3.06E-05,1.93E-06,3.39E-05,RR
